datetime,Price,Volume,Settlement Period,hour,quarter,year,dayofyear,dayofmonth,weekofyear,SAP,EU_ETS,Gas,INDO
1/1/2017 0:00,44.9,505,1,0,1,2017,1,1,52,16.95,1.033831629,21.29483163,27239
1/1/2017 0:30,47.13,559.15,2,0,1,2017,1,1,52,16.95,1.033831629,21.29483163,27814
1/1/2017 1:00,45.62,649.35,3,1,1,2017,1,1,52,16.95,1.033831629,21.29483163,27453
1/1/2017 1:30,44.05,712.65,4,1,1,2017,1,1,52,16.95,1.033831629,21.29483163,26312
1/1/2017 2:00,44.83,599.15,5,2,1,2017,1,1,52,16.95,1.033831629,21.29483163,25289
1/1/2017 2:30,45.51,499.3,6,2,1,2017,1,1,52,16.95,1.033831629,21.29483163,24616
1/1/2017 3:00,44.85,474.5,7,3,1,2017,1,1,52,16.95,1.033831629,21.29483163,23654
1/1/2017 3:30,42.8,487,8,3,1,2017,1,1,52,16.95,1.033831629,21.29483163,22806
1/1/2017 4:00,42.33,348.85,9,4,1,2017,1,1,52,16.95,1.033831629,21.29483163,22234
1/1/2017 4:30,40.87,262.3,10,4,1,2017,1,1,52,16.95,1.033831629,21.29483163,21928
1/1/2017 5:00,41.53,341.5,11,5,1,2017,1,1,52,16.95,1.033831629,21.29483163,21726
1/1/2017 5:30,41.89,350.75,12,5,1,2017,1,1,52,16.95,1.033831629,21.29483163,21597
1/1/2017 6:00,42.64,447.2,13,6,1,2017,1,1,52,16.95,1.033831629,21.29483163,21887
1/1/2017 6:30,42.61,501,14,6,1,2017,1,1,52,16.95,1.033831629,21.29483163,22082
1/1/2017 7:00,40.78,1157.5,15,7,1,2017,1,1,52,16.95,1.033831629,21.29483163,22376
1/1/2017 7:30,39.43,1006.5,16,7,1,2017,1,1,52,16.95,1.033831629,21.29483163,22615
1/1/2017 8:00,38.29,1073,17,8,1,2017,1,1,52,16.95,1.033831629,21.29483163,23452
1/1/2017 8:30,38.99,1069,18,8,1,2017,1,1,52,16.95,1.033831629,21.29483163,24422
1/1/2017 9:00,42.46,835,19,9,1,2017,1,1,52,16.95,1.033831629,21.29483163,25909
1/1/2017 9:30,42.53,753.75,20,9,1,2017,1,1,52,16.95,1.033831629,21.29483163,27198
1/1/2017 10:00,41.86,653.45,21,10,1,2017,1,1,52,16.95,1.033831629,21.29483163,28831
1/1/2017 10:30,41.74,801.9,22,10,1,2017,1,1,52,16.95,1.033831629,21.29483163,30062
1/1/2017 11:00,40.77,448.45,23,11,1,2017,1,1,52,16.95,1.033831629,21.29483163,31235
1/1/2017 11:30,40.33,529.35,24,11,1,2017,1,1,52,16.95,1.033831629,21.29483163,32075
1/1/2017 12:00,42.65,479.85,25,12,1,2017,1,1,52,16.95,1.033831629,21.29483163,32956
1/1/2017 12:30,42.71,474.35,26,12,1,2017,1,1,52,16.95,1.033831629,21.29483163,33338
1/1/2017 13:00,44.06,505.7,27,13,1,2017,1,1,52,16.95,1.033831629,21.29483163,33346
1/1/2017 13:30,45,529,28,13,1,2017,1,1,52,16.95,1.033831629,21.29483163,33264
1/1/2017 14:00,43.24,489.55,29,14,1,2017,1,1,52,16.95,1.033831629,21.29483163,33429
1/1/2017 14:30,41.49,510.9,30,14,1,2017,1,1,52,16.95,1.033831629,21.29483163,33523
1/1/2017 15:00,43.82,775.75,31,15,1,2017,1,1,52,16.95,1.033831629,21.29483163,33956
1/1/2017 15:30,42.5,624.25,32,15,1,2017,1,1,52,16.95,1.033831629,21.29483163,34737
1/1/2017 16:00,43.73,488.3,33,16,1,2017,1,1,52,16.95,1.033831629,21.29483163,36251
1/1/2017 16:30,53.34,362.3,34,16,1,2017,1,1,52,16.95,1.033831629,21.29483163,37640
1/1/2017 17:00,67.98,434.65,35,17,1,2017,1,1,52,16.95,1.033831629,21.29483163,38019
1/1/2017 17:30,59.17,414.4,36,17,1,2017,1,1,52,16.95,1.033831629,21.29483163,37857
1/1/2017 18:00,50.79,547.2,37,18,1,2017,1,1,52,16.95,1.033831629,21.29483163,37300
1/1/2017 18:30,44.67,834.75,38,18,1,2017,1,1,52,16.95,1.033831629,21.29483163,36441
1/1/2017 19:00,48.52,863.85,39,19,1,2017,1,1,52,16.95,1.033831629,21.29483163,35529
